"gen","age","edu","emp","zone","count"
"femmina","(40,50]","laurea","disoccupato","sud-isole",0.000487894126974447
"femmina","(40,50]","laurea","inattivo","centro",0.000365920595230835
"femmina","(40,50]","laurea","inattivo","nord-est",0.000182960297615417
"femmina","(40,50]","laurea","inattivo","nord-ovest",0.00021345368055132
"femmina","(40,50]","laurea","inattivo","sud-isole",0.000823321339269379
"femmina","(40,50]","laurea","occupato","centro",0.00439104714277002
"femmina","(40,50]","laurea","occupato","nord-est",0.00402512654753918
"femmina","(40,50]","laurea","occupato","nord-ovest",0.00399463316460328
"femmina","(40,50]","laurea","occupato","sud-isole",0.00609867658718058
"femmina","(40,50]","nessuna / elementari / medie","disoccupato","centro",0.000396413978166738
"femmina","(40,50]","nessuna / elementari / medie","disoccupato","nord-est",0.000365920595230835
"femmina","(40,50]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000640361041653961
"femmina","(40,50]","nessuna / elementari / medie","disoccupato","sud-isole",0.00167713606147466
"femmina","(40,50]","nessuna / elementari / medie","inattivo","centro",0.00201256327376959
"femmina","(40,50]","nessuna / elementari / medie","inattivo","nord-est",0.00152466914679515
"femmina","(40,50]","nessuna / elementari / medie","inattivo","nord-ovest",0.00219552357138501
"femmina","(40,50]","nessuna / elementari / medie","inattivo","sud-isole",0.00963590900774532
"femmina","(40,50]","nessuna / elementari / medie","occupato","centro",0.00216503018844911
"femmina","(40,50]","nessuna / elementari / medie","occupato","nord-est",0.00338476550588522
"femmina","(40,50]","nessuna / elementari / medie","occupato","nord-ovest",0.00399463316460328
"femmina","(40,50]","nessuna / elementari / medie","occupato","sud-isole",0.00375068610111606
"femmina","(40,50]","superiori","disoccupato","centro",0.000884308105141184
"femmina","(40,50]","superiori","disoccupato","nord-est",0.000548880892846252
"femmina","(40,50]","superiori","disoccupato","nord-ovest",0.00073184119046167
"femmina","(40,50]","superiori","disoccupato","sud-isole",0.00170762944441056
"femmina","(40,50]","superiori","inattivo","centro",0.00161614929560285
"femmina","(40,50]","superiori","inattivo","nord-est",0.00155516252973105
"femmina","(40,50]","superiori","inattivo","nord-ovest",0.00173812282734647
"femmina","(40,50]","superiori","inattivo","sud-isole",0.0052753552479112
"femmina","(40,50]","superiori","occupato","centro",0.00661706409709093
"femmina","(40,50]","superiori","occupato","nord-est",0.0083551869244374
"femmina","(40,50]","superiori","occupato","nord-ovest",0.00780630603159114
"femmina","(40,50]","superiori","occupato","sud-isole",0.00698298469232177
"femmina","(50,65]","laurea","disoccupato","centro",9.14801488077087e-05
"femmina","(50,65]","laurea","disoccupato","nord-est",0.000152466914679515
"femmina","(50,65]","laurea","disoccupato","nord-ovest",9.14801488077087e-05
"femmina","(50,65]","laurea","disoccupato","sud-isole",9.14801488077087e-05
