"gen","edu","zone","age","count"
"maschio","nessuna / elementari / medie","nord-est","(50,65]",0.00931293081627076
"maschio","nessuna / elementari / medie","nord-est","(65,95]",0.017330791079918
"maschio","nessuna / elementari / medie","nord-ovest","(20,30]",0.00318044358241684
"maschio","nessuna / elementari / medie","nord-ovest","(30,40]",0.0059717351211601
"maschio","nessuna / elementari / medie","nord-ovest","(40,50]",0.00987837449110567
"maschio","nessuna / elementari / medie","nord-ovest","(50,65]",0.0129876948928443
"maschio","nessuna / elementari / medie","nord-ovest","(65,95]",0.0235646393608698
"maschio","nessuna / elementari / medie","sud-isole","(20,30]",0.00641589528932337
"maschio","nessuna / elementari / medie","sud-isole","(30,40]",0.0104436189413448
"maschio","nessuna / elementari / medie","sud-isole","(40,50]",0.015753463547267
"maschio","nessuna / elementari / medie","sud-isole","(50,65]",0.0190417761802425
"maschio","nessuna / elementari / medie","sud-isole","(65,95]",0.0306307373224812
"maschio","superiori","centro","(20,30]",0.00822164488902028
"maschio","superiori","centro","(30,40]",0.00740187994969358
"maschio","superiori","centro","(40,50]",0.00886093448067516
"maschio","superiori","centro","(50,65]",0.00820291777702097
"maschio","superiori","centro","(65,95]",0.00668695141985709
"maschio","superiori","nord-est","(20,30]",0.00829305583855901
"maschio","superiori","nord-est","(30,40]",0.00732099476382422
"maschio","superiori","nord-est","(40,50]",0.00939441367592733
"maschio","superiori","nord-est","(50,65]",0.00846801930574877
"maschio","superiori","nord-est","(65,95]",0.00648836877003937
"maschio","superiori","nord-ovest","(20,30]",0.0113877885726764
"maschio","superiori","nord-ovest","(30,40]",0.00882943485848247
"maschio","superiori","nord-ovest","(40,50]",0.0122179574631138
"maschio","superiori","nord-ovest","(50,65]",0.0113233062118561
"maschio","superiori","nord-ovest","(65,95]",0.00925066206206975
"maschio","superiori","sud-isole","(20,30]",0.01657464519483
"maschio","superiori","sud-isole","(30,40]",0.0128200805996306
"maschio","superiori","sud-isole","(40,50]",0.0121969724723628
"maschio","superiori","sud-isole","(50,65]",0.0107587701157351
"maschio","superiori","sud-isole","(65,95]",0.00847519139119531
