"gen","emp","zone","age","count"
"maschio","inattivo","sud-isole","(65,95]",0.023464829161848
"maschio","occupato","centro","(20,30]",0.00700416423270856
"maschio","occupato","centro","(30,40]",0.013196245170745
"maschio","occupato","centro","(40,50]",0.0180721163776384
"maschio","occupato","centro","(50,65]",0.023207732867028
"maschio","occupato","centro","(65,95]",0.00231261440466037
"maschio","occupato","nord-est","(20,30]",0.00868535630220778
"maschio","occupato","nord-est","(30,40]",0.013973795298803
"maschio","occupato","nord-est","(40,50]",0.0188465840473098
"maschio","occupato","nord-est","(50,65]",0.0236224439285768
"maschio","occupato","nord-est","(65,95]",0.00214204368002473
"maschio","occupato","nord-ovest","(20,30]",0.011049072087311
"maschio","occupato","nord-ovest","(30,40]",0.0189037299359954
"maschio","occupato","nord-ovest","(40,50]",0.0256009005787484
"maschio","occupato","nord-ovest","(50,65]",0.0314757291200109
"maschio","occupato","nord-ovest","(65,95]",0.00272231647133072
"maschio","occupato","sud-isole","(20,30]",0.0105294129503758
"maschio","occupato","sud-isole","(30,40]",0.0194159719074375
"maschio","occupato","sud-isole","(40,50]",0.0247592690306345
"maschio","occupato","sud-isole","(50,65]",0.0325959860082397
"maschio","occupato","sud-isole","(65,95]",0.00271114255967874
"femmina","disoccupato","centro","(65,95]",0
"femmina","disoccupato","nord-est","(65,95]",0
"femmina","disoccupato","nord-ovest","(65,95]",0
"femmina","disoccupato","sud-isole","(65,95]",0
"maschio","disoccupato","centro","(65,95]",0
"maschio","disoccupato","nord-est","(65,95]",0
"maschio","disoccupato","nord-ovest","(65,95]",0
"maschio","disoccupato","sud-isole","(65,95]",0
