"gen","zone","age","emp","edu","pastvote","nowvote"
"maschio","sud-isole","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","centro","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","sud-isole","(65,95]","inattivo","laurea","CDX","CDX"
"femmina","centro","(50,65]","occupato","nessuna / elementari / medie","CSX","CSX"
"femmina","centro","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","nord-ovest","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","nord-est","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","sud-isole","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","centro","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","nord-est","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","nord-ovest","(50,65]","occupato","laurea","CDX","CDX"
"femmina","nord-ovest","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","nord-est","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","nord-ovest","(65,95]","inattivo","nessuna / elementari / medie","altri","CSX"
"femmina","nord-ovest","(65,95]","inattivo","superiori","CDX","CDX"
"maschio","centro","(50,65]","occupato","laurea","CDX","altri"
"maschio","nord-ovest","(65,95]","inattivo","laurea","M5S","M5S"
"maschio","sud-isole","(50,65]","occupato","nessuna / elementari / medie","M5S","M5S"
"maschio","nord-ovest","(65,95]","inattivo","nessuna / elementari / medie","CDX","CDX"
"femmina","nord-ovest","(50,65]","inattivo","nessuna / elementari / medie","CDX","CDX"
"maschio","nord-ovest","(65,95]","occupato","laurea","CSX","CSX"
"maschio","nord-ovest","(50,65]","inattivo","laurea","CSX","CSX"
"femmina","centro","(65,95]","inattivo","superiori","CSX","M5S"
"maschio","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","nord-est","(50,65]","occupato","superiori","altri","CSX"
"maschio","centro","(65,95]","inattivo","superiori","CDX","CDX"
"femmina","centro","(65,95]","inattivo","laurea","CSX","CSX"
"maschio","nord-est","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","centro","(40,50]","occupato","laurea","CSX","CSX"
"femmina","centro","(65,95]","inattivo","laurea","M5S","M5S"
"femmina","nord-ovest","(65,95]","inattivo","laurea","CDX","CDX"
"maschio","centro","(65,95]","inattivo","superiori","CDX","CDX"
"femmina","nord-est","(65,95]","inattivo","laurea","CSX","CDX"
"femmina","sud-isole","(65,95]","inattivo","nessuna / elementari / medie","altri","CDX"
"femmina","sud-isole","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","sud-isole","(50,65]","occupato","laurea","M5S","M5S"
"femmina","nord-est","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","nord-est","(50,65]","inattivo","superiori","CSX","CSX"
"femmina","centro","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","nord-ovest","(65,95]","inattivo","nessuna / elementari / medie","M5S","M5S"
"femmina","nord-est","(65,95]","inattivo","superiori","M5S","CDX"
"maschio","nord-ovest","(65,95]","inattivo","superiori","CDX","CDX"
"femmina","sud-isole","(65,95]","inattivo","laurea","M5S","M5S"
"femmina","sud-isole","(65,95]","inattivo","laurea","M5S","M5S"
"femmina","nord-est","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","nord-est","(65,95]","inattivo","superiori","altri","CSX"
"femmina","nord-est","(65,95]","inattivo","laurea","CSX","CSX"
"maschio","sud-isole","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","sud-isole","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","centro","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","nord-ovest","(65,95]","inattivo","superiori","CSX","M5S"
"femmina","centro","(65,95]","inattivo","superiori","CSX","M5S"
"femmina","nord-ovest","(65,95]","inattivo","laurea","CDX","CDX"
"femmina","nord-est","(65,95]","inattivo","nessuna / elementari / medie","altri","CSX"
"maschio","nord-est","(50,65]","inattivo","superiori","altri","CDX"
"femmina","nord-ovest","(50,65]","inattivo","superiori","M5S","M5S"
"maschio","sud-isole","(65,95]","inattivo","laurea","M5S","M5S"
"maschio","nord-est","(65,95]","inattivo","superiori","CDX","CDX"
"femmina","nord-est","(50,65]","occupato","superiori","altri","CSX"
"maschio","centro","(50,65]","occupato","laurea","M5S","altri"
"femmina","centro","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","centro","(50,65]","inattivo","laurea","CDX","Az"
"femmina","nord-ovest","(50,65]","occupato","laurea","CDX","altri"
"maschio","nord-ovest","(65,95]","inattivo","nessuna / elementari / medie","CDX","CDX"
"femmina","nord-est","(50,65]","inattivo","nessuna / elementari / medie","CSX","CSX"
"maschio","nord-ovest","(65,95]","inattivo","laurea","M5S","M5S"
"femmina","sud-isole","(50,65]","occupato","superiori","CSX","Az"
"maschio","nord-ovest","(50,65]","occupato","laurea","CDX","CDX"
"maschio","nord-ovest","(65,95]","inattivo","laurea","CSX","CSX"
"femmina","sud-isole","(65,95]","inattivo","laurea","M5S","M5S"
"maschio","sud-isole","(65,95]","inattivo","laurea","CSX","CSX"
"femmina","nord-ovest","(65,95]","inattivo","laurea","CSX","CSX"
"femmina","centro","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","sud-isole","(65,95]","occupato","superiori","M5S","M5S"
"femmina","nord-ovest","(50,65]","inattivo","superiori","CDX","CDX"
"femmina","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","nord-est","(65,95]","inattivo","laurea","altri","CSX"
"maschio","centro","(65,95]","inattivo","superiori","M5S","Az"
"maschio","nord-est","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","sud-isole","(50,65]","occupato","nessuna / elementari / medie","CDX","CDX"
"maschio","nord-ovest","(65,95]","occupato","superiori","M5S","M5S"
"femmina","sud-isole","(65,95]","inattivo","nessuna / elementari / medie","M5S","M5S"
"maschio","nord-est","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","centro","(30,40]","disoccupato","superiori","CDX","CDX"
"femmina","nord-est","(65,95]","inattivo","superiori","M5S","CDX"
"maschio","nord-est","(50,65]","disoccupato","nessuna / elementari / medie","M5S","M5S"
"femmina","sud-isole","(65,95]","inattivo","superiori","CDX","CDX"
"maschio","nord-est","(65,95]","inattivo","laurea","CDX","altri"
"maschio","sud-isole","(65,95]","inattivo","nessuna / elementari / medie","M5S","M5S"
"femmina","nord-est","(65,95]","inattivo","laurea","M5S","M5S"
"maschio","centro","(65,95]","inattivo","nessuna / elementari / medie","CDX","CDX"
"femmina","sud-isole","(65,95]","inattivo","laurea","CSX","CSX"
"maschio","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","nord-est","(50,65]","occupato","laurea","M5S","M5S"
"maschio","sud-isole","(65,95]","inattivo","superiori","CDX","CDX"
"maschio","nord-ovest","(50,65]","occupato","nessuna / elementari / medie","CDX","altri"
"femmina","sud-isole","(65,95]","inattivo","laurea","CSX","CSX"
"maschio","centro","(50,65]","inattivo","superiori","CDX","CDX"
"maschio","nord-ovest","(65,95]","occupato","laurea","CDX","CDX"
"femmina","nord-ovest","(65,95]","inattivo","laurea","CSX","CSX"
"maschio","nord-ovest","(65,95]","inattivo","laurea","CSX","CSX"
"maschio","nord-ovest","(65,95]","inattivo","laurea","CSX","CSX"
"femmina","sud-isole","(50,65]","occupato","laurea","M5S","M5S"
"maschio","centro","(50,65]","occupato","laurea","M5S","M5S"
"maschio","centro","(40,50]","inattivo","laurea","CSX","CSX"
"maschio","nord-ovest","(40,50]","occupato","laurea","CSX","CSX"
"maschio","nord-est","(65,95]","occupato","laurea","M5S","M5S"
"femmina","sud-isole","(65,95]","inattivo","laurea","CSX","CSX"
"maschio","sud-isole","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","nord-ovest","(65,95]","inattivo","laurea","altri","CSX"
"femmina","centro","(65,95]","inattivo","laurea","M5S","M5S"
"femmina","centro","(65,95]","inattivo","laurea","M5S","M5S"
"femmina","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","centro","(65,95]","inattivo","superiori","CSX","altri"
"maschio","sud-isole","(65,95]","inattivo","laurea","CSX","CSX"
"femmina","nord-est","(50,65]","occupato","superiori","M5S","M5S"
"maschio","nord-est","(65,95]","inattivo","nessuna / elementari / medie","CDX","CDX"
"maschio","nord-ovest","(50,65]","occupato","superiori","CSX","CSX"
"femmina","nord-est","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","sud-isole","(50,65]","occupato","superiori","M5S","M5S"
"femmina","nord-est","(50,65]","occupato","laurea","altri","CSX"
"femmina","sud-isole","(65,95]","inattivo","laurea","CSX","Az"
"maschio","sud-isole","(40,50]","occupato","superiori","CSX","Az"
"maschio","centro","(50,65]","occupato","superiori","CDX","CDX"
"femmina","centro","(50,65]","occupato","laurea","M5S","M5S"
"femmina","nord-ovest","(65,95]","inattivo","laurea","CSX","CSX"
"femmina","centro","(65,95]","inattivo","superiori","altri","M5S"
"femmina","sud-isole","(50,65]","inattivo","superiori","M5S","M5S"
"maschio","centro","(50,65]","inattivo","superiori","altri","altri"
"maschio","centro","(65,95]","inattivo","laurea","M5S","M5S"
"maschio","nord-est","(65,95]","inattivo","laurea","M5S","M5S"
"maschio","sud-isole","(50,65]","occupato","laurea","altri","CSX"
"femmina","centro","(65,95]","occupato","superiori","M5S","altri"
"maschio","sud-isole","(65,95]","occupato","laurea","CSX","CSX"
"femmina","sud-isole","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","centro","(50,65]","occupato","superiori","altri","altri"
"maschio","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","nord-ovest","(65,95]","inattivo","laurea","CDX","CDX"
"maschio","sud-isole","(65,95]","inattivo","laurea","altri","CSX"
"maschio","sud-isole","(65,95]","inattivo","laurea","M5S","M5S"
"maschio","centro","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","nord-est","(50,65]","inattivo","nessuna / elementari / medie","M5S","M5S"
"femmina","centro","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","nord-ovest","(50,65]","occupato","laurea","CSX","Az"
"maschio","nord-est","(65,95]","inattivo","superiori","altri","M5S"
"maschio","nord-ovest","(65,95]","inattivo","laurea","CDX","altri"
"femmina","sud-isole","(65,95]","inattivo","laurea","CSX","M5S"
"femmina","centro","(65,95]","inattivo","laurea","CSX","Az"
"femmina","centro","(50,65]","occupato","superiori","altri","M5S"
"maschio","centro","(65,95]","inattivo","nessuna / elementari / medie","M5S","M5S"
"femmina","sud-isole","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","nord-est","(50,65]","occupato","nessuna / elementari / medie","CDX","CDX"
"femmina","centro","(50,65]","occupato","superiori","CSX","M5S"
"maschio","nord-est","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","centro","(50,65]","occupato","superiori","M5S","M5S"
"maschio","sud-isole","(65,95]","inattivo","laurea","CSX","CSX"
"femmina","nord-est","(50,65]","occupato","laurea","altri","CSX"
"femmina","nord-ovest","(50,65]","inattivo","superiori","altri","altri"
"femmina","nord-ovest","(65,95]","inattivo","laurea","CSX","CSX"
"maschio","nord-est","(40,50]","occupato","laurea","M5S","CDX"
"maschio","centro","(30,40]","occupato","superiori","CDX","CDX"
"femmina","sud-isole","(65,95]","inattivo","superiori","M5S","M5S"
"maschio","centro","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","centro","(65,95]","occupato","laurea","CDX","CDX"
